,resnet-gru,vgg-gru,resnet-lstm,vgg-lstm
1,0.0073738222197943,0.0024861901346423,0.0034909466191297,0.015675143312660116
2,0.0027650078592286,0.0024185153074448,0.0050282086442103,0.005616838079990647
3,0.0023961608732335,0.003721771760526,0.0044550569273534,0.005532714786693478
4,0.0036281118671337,0.0030454926875368,0.0033695943644649,0.005225116164635965
5,0.0038034295120272,0.0024515263063249,0.003483932343878,0.006235494344055568
6,0.0055719954662424,0.0026344023983001,0.0036663065484028,0.0069466139500358156
7,0.0058394617898636,0.0027882141050547,0.0038200489986809,0.006019184038227948
8,0.0068932100622529,0.0030511333986437,0.0036600958002583,0.005847964685673796
9,0.0045261458239628,0.0033924285175972,0.0029724818845152,0.005805114821008796
10,0.0036908953952639,0.0028918598052578,0.003385633489096,0.0052488300517403936
